ID,Vehicles
20170701001,72.72084
20170701011,60.554573
20170701021,50.319225
20170701031,38.076424
20170701041,32.441647
20170701051,29.404314
20170701061,33.010605
20170701071,35.37713
20170701081,41.148987
20170701091,45.23744
20170701101,58.953327
20170701111,62.69668
20170701121,60.326054
20170701131,55.77195
20170701141,68.880646
20170701151,67.27035
20170701161,61.43261
20170701171,59.460426
20170701181,62.42217
20170701191,72.01739
20170701201,73.922935
20170701211,70.12932
20170701221,67.30869
20170701231,63.46444
20170702001,57.399075
20170702011,44.92712
20170702021,39.816597
20170702031,31.906837
20170702041,27.536097
20170702051,25.347624
20170702061,28.242584
20170702071,31.394043
20170702081,35.937145
20170702091,41.20592
20170702101,51.086433
20170702111,57.321873
20170702121,56.142525
20170702131,53.948215
20170702141,63.821735
20170702151,61.039433
20170702161,54.559338
20170702171,60.33986
20170702181,70.22933
20170702191,76.57316
20170702201,75.845764
20170702211,72.79546
20170702221,72.25209
20170702231,69.08171
20170703001,62.528748
20170703011,51.330288
20170703021,44.60105
20170703031,39.09138
20170703041,33.092587
20170703051,32.57729
20170703061,40.050373
20170703071,46.057915
20170703081,52.479355
20170703091,64.03235
20170703101,85.53302
20170703111,111.71834
20170703121,113.50437
20170703131,101.46773
20170703141,122.31022
20170703151,120.15668
20170703161,109.14791
20170703171,108.9266
20170703181,116.49165
20170703191,121.49585
20170703201,118.17224
20170703211,108.72346
20170703221,101.99538
20170703231,99.24871
20170704001,83.67625
20170704011,70.08263
20170704021,61.44373
20170704031,49.38042
20170704041,41.53649
20170704051,39.16399
20170704061,45.64025
20170704071,51.856674
20170704081,58.99846
20170704091,71.06655
20170704101,94.409096
20170704111,115.71879
20170704121,118.30987
20170704131,109.05097
20170704141,129.0065
20170704151,126.427986
20170704161,116.04191
20170704171,114.27223
20170704181,119.631355
20170704191,121.98025
20170704201,117.69824
20170704211,107.494354
20170704221,101.014336
20170704231,99.611244
20170705001,85.567665
20170705011,71.813225
20170705021,61.653786
20170705031,49.06858
20170705041,42.161297
20170705051,39.992134
20170705061,46.755783
20170705071,53.00652
20170705081,59.623642
20170705091,71.55616
20170705101,92.220024
20170705111,109.26761
20170705121,110.36608
20170705131,101.049515
20170705141,121.216255
20170705151,118.7564
20170705161,108.01058
20170705171,104.93118
20170705181,111.11932
20170705191,113.68227
20170705201,109.495
20170705211,100.35834
20170705221,94.62957
20170705231,92.93902
20170706001,82.292435
20170706011,68.70445
20170706021,59.60688
20170706031,47.2008
20170706041,40.04505
